attendance,study_hours,assignment_delay,lms_usage,performance,burnout_level
67,5,2,7,66,Low
67,6,3,7,62,Low
73,0,0,3,51,Medium
72,6,4,4,62,Low
89,4,3,3,67,Low
87,6,3,5,73,Low
91,5,2,9,88,Low
85,4,2,9,97,Low
69,1,2,4,40,Medium
74,3,1,4,78,Low
66,2,2,8,61,Low
74,9,3,6,74,Low
67,4,5,4,54,Medium
66,2,4,4,58,Medium
68,5,1,7,75,Low
53,5,3,7,66,Low
95,4,4,8,90,Low
83,2,2,8,85,Low
64,5,0,4,78,Low
68,4,2,2,81,Low
100,6,5,3,61,Medium
81,2,6,7,63,Low
79,5,2,5,60,Low
75,2,0,3,60,Low
70,4,1,5,50,Medium
72,6,0,9,66,Medium
74,7,2,6,78,Medium
93,2,2,5,71,Medium
79,3,2,4,70,Medium
63,4,2,7,76,Low
79,6,4,1,82,Low
82,3,0,5,63,Low
75,6,3,6,65,Medium
59,5,2,7,69,Medium
77,4,2,6,64,Medium
81,0,3,3,42,Medium
87,4,0,6,87,Low
85,4,4,3,58,Medium
77,3,0,7,80,Low
94,6,3,8,80,Low
93,7,2,3,72,Medium
76,7,4,2,90,Low
74,5,7,1,52,Medium
82,6,4,5,75,Low
75,1,2,3,58,Medium
67,2,3,9,53,Medium
88,3,1,5,72,Low
91,4,1,4,77,Low
93,8,2,9,100,Low
75,5,2,5,96,Low
64,3,3,3,58,Medium
73,3,1,8,76,Medium
67,3,2,7,77,Low
88,4,6,4,50,Medium
79,4,2,2,55,Medium
67,3,4,8,73,Medium
61,8,2,7,94,Low
80,2,3,3,72,Medium
79,0,1,2,40,Medium
77,4,1,7,60,Low
73,2,0,1,42,Medium
68,4,2,1,82,Low
66,6,3,4,49,Medium
53,3,1,2,40,Medium
86,1,2,8,77,Low
71,0,0,4,46,Medium
91,3,5,1,48,High
79,6,2,7,96,Low
83,5,0,10,79,Low
73,6,0,3,83,Low
78,4,2,1,56,Medium
57,2,0,3,60,Low
59,8,2,6,75,Medium
82,7,0,9,90,Low
62,5,1,2,72,Medium
66,3,2,3,65,Low
77,2,0,2,62,Low
90,6,0,6,82,Low
66,5,2,4,64,Medium
65,3,2,5,63,Medium
76,5,4,7,89,Low
67,7,1,8,83,Low
65,7,3,4,80,Low
74,7,1,3,88,Low
66,5,4,5,57,Medium
73,5,4,1,48,Medium
80,4,2,8,61,Medium
63,4,5,1,55,Medium
68,4,3,6,65,Low
91,6,3,4,79,Low
68,5,2,3,44,Medium
71,1,1,1,45,Medium
52,6,2,8,40,Medium
87,0,2,6,70,Low
85,4,0,5,73,Low
77,5,2,1,40,Medium
62,3,2,2,57,Low
85,6,2,3,81,Low
85,5,0,2,92,Low
80,7,6,7,79,Medium
70,2,3,4,70,Medium
73,2,5,7,45,High
76,5,2,1,42,Medium
93,5,4,5,78,Low
96,3,0,3,57,Medium
49,2,6,6,40,Medium
70,3,3,4,55,Medium
68,2,2,2,58,Low
59,3,0,3,57,Low
75,6,2,9,78,Medium
90,5,4,8,79,Medium
74,8,5,3,57,Medium
78,4,3,7,67,Medium
53,9,3,4,88,Low
84,8,4,7,96,Low
52,9,4,6,89,Low
84,4,4,7,49,Medium
75,2,4,2,59,Medium
88,4,2,3,59,Medium
63,2,0,3,44,Low
77,4,1,4,77,Low
81,3,1,8,87,Low
68,4,2,3,66,Low
71,2,0,8,51,Medium
80,5,1,3,51,Medium
76,2,3,3,43,Medium
57,2,3,5,62,Low
65,4,2,5,70,Low
82,2,1,5,65,Medium
78,2,1,5,55,Medium
63,3,4,4,55,Low
70,5,5,5,41,High
65,5,0,7,80,Low
96,5,3,2,80,Low
80,7,3,7,92,Low
78,1,0,2,59,Low
84,4,0,2,72,Low
87,1,1,3,47,Medium
77,4,1,2,72,Low
100,4,0,9,87,Low
83,2,3,6,80,Low
71,3,6,8,40,High
69,5,4,2,40,High
71,5,2,3,62,Medium
79,4,2,5,80,Medium
76,5,2,8,63,Medium
84,8,3,7,94,Low
63,6,6,10,69,Medium
77,2,2,6,56,Medium
68,4,2,2,58,Low
71,1,1,3,59,Low
84,3,0,7,87,Low
78,4,3,2,50,Low
88,6,1,6,98,Low
80,5,6,6,68,Medium
58,7,4,6,84,Low
81,2,2,7,77,Low
80,6,0,3,79,Low
65,6,6,7,60,Medium
66,4,0,5,67,Low
87,6,5,3,69,Medium
82,4,0,1,82,Low
63,4,4,3,54,Medium
82,6,0,4,80,Low
59,4,4,10,71,Medium
90,8,0,3,92,Low
92,4,6,2,47,High
71,5,1,10,79,Medium
62,4,5,9,75,Medium
64,1,2,6,48,Medium
80,5,4,8,54,Medium
82,5,2,7,73,Low
74,6,2,3,86,Low
84,4,2,2,48,Medium
82,3,2,5,53,Low
69,4,2,3,76,Low
69,1,1,1,49,Medium
92,2,0,3,72,Low
83,2,3,2,63,Low
57,5,4,9,74,Medium
79,6,5,4,66,Medium
77,5,0,3,71,Low
85,4,2,5,88,Low
70,5,3,1,53,Low
79,5,6,7,60,Medium
72,4,1,9,66,Medium
82,6,0,4,73,Low
91,6,3,8,75,Medium
79,3,6,6,53,Medium
68,2,0,2,40,Medium
88,3,2,8,61,Medium
76,2,4,4,84,Low
68,2,5,4,42,High
72,5,0,7,78,Medium
65,3,3,1,59,Medium
72,7,2,7,83,Low
65,5,2,6,99,Low
81,2,2,7,54,Medium
87,6,2,4,83,Low
64,6,5,4,82,Low
83,6,4,3,55,Medium
85,4,1,8,77,Low
59,4,0,6,71,Low
70,2,0,4,63,Medium
70,6,3,4,60,Medium
85,3,4,10,61,Medium
63,2,0,4,40,Medium
55,2,4,3,40,Medium
80,6,2,4,71,Low
90,4,1,10,85,Low
100,4,0,10,98,Low
79,1,5,2,43,Medium
57,4,2,4,41,Medium
89,2,2,4,72,Low
64,7,1,8,77,Low
78,4,2,3,63,Medium
71,5,4,4,79,Medium
78,3,1,3,74,Low
87,3,0,5,60,Low
77,1,4,1,51,Medium
82,1,3,8,59,Medium
79,2,0,4,71,Low
79,4,4,6,57,Medium
70,2,6,1,43,Medium
67,5,2,1,69,Low
76,2,3,5,51,Low
73,3,6,4,40,High
81,2,3,3,41,Medium
76,4,1,6,85,Low
62,1,0,3,56,Low
64,5,1,4,51,Low
68,4,4,7,78,Medium
85,6,4,6,82,Low
89,0,4,5,41,Medium
93,4,0,6,88,Low
90,4,1,5,90,Low
73,2,0,3,57,Low
63,1,3,6,45,Medium
82,6,0,1,60,Low
82,6,4,3,63,Low
72,5,4,3,73,Low
76,4,2,5,50,Low
60,4,1,5,79,Low
90,4,0,4,79,Low
83,7,1,1,70,Low
64,5,0,8,79,Medium
76,7,0,3,89,Low
69,3,1,5,60,Low
68,0,5,10,40,High
80,5,1,3,83,Low
95,8,4,3,77,Low
80,7,2,3,68,Low
68,7,0,3,87,Low
90,4,7,5,43,Medium
79,3,4,1,61,Medium
75,1,3,9,72,Low
74,4,0,6,68,Medium
84,5,2,4,90,Low
64,5,0,7,96,Low
71,5,0,4,52,Low
84,2,2,5,68,Medium
69,4,1,3,80,Low
66,4,0,7,69,Low
77,8,0,8,97,Low
65,1,3,8,40,Medium
83,5,4,4,77,Low
82,7,4,5,88,Low
79,3,0,8,65,Medium
70,4,4,6,61,Medium
79,2,3,7,47,Medium
85,3,1,9,87,Low
75,3,2,7,56,Medium
84,5,1,3,63,Medium
61,1,2,6,52,High
80,1,2,1,56,Low
63,3,0,1,67,Low
77,6,3,4,70,Low
76,5,2,4,53,Medium
61,6,3,6,63,Medium
81,5,1,7,62,Medium
71,8,1,4,97,Low
75,7,1,4,75,Low
65,2,5,10,46,Medium
83,5,0,4,79,Low
60,5,0,9,79,Low
83,5,3,6,91,Low
78,6,5,3,58,Medium
68,4,1,1,60,Medium
80,6,3,3,63,Medium
69,2,4,6,44,Medium
80,4,2,2,75,Low
78,5,3,2,59,Low
74,4,1,5,62,Low
83,4,0,8,58,Medium
67,4,4,4,73,Low
68,4,0,6,81,Low
78,9,2,3,99,Low
67,2,0,6,63,Medium
82,9,1,3,90,Low
79,5,1,2,63,Medium
87,3,0,4,60,Low
70,7,2,8,76,Low
67,1,0,5,55,Medium
72,1,3,3,44,Medium
75,5,6,4,65,Medium
71,6,0,6,87,Low
70,3,5,1,40,Medium
67,7,0,7,81,Low
74,6,4,8,69,Low
66,3,3,8,53,Medium
70,3,0,5,77,Low
66,0,6,2,41,Medium
73,4,4,1,67,Medium
100,2,4,6,68,Low
91,2,6,6,41,Medium
78,2,0,7,78,Low
75,1,4,7,50,Medium
74,0,2,5,40,Medium
66,7,0,3,68,Low
67,6,0,2,80,Low
74,3,4,9,45,Medium
89,3,5,10,76,Medium
66,3,0,8,57,Medium
84,2,0,2,57,Low
86,2,2,8,72,Medium
72,5,1,4,66,Low
92,6,2,6,86,Low
58,7,0,7,67,Medium
69,0,4,9,44,Medium
75,3,0,6,92,Low
62,3,1,6,60,Medium
92,2,2,1,65,Low
82,8,3,7,75,Medium
79,2,4,4,42,High
83,7,1,5,87,Low
80,2,0,9,55,Medium
71,7,3,4,67,Medium
90,2,3,3,62,Low
82,2,6,4,60,Medium
64,2,5,3,42,Medium
78,2,1,7,79,Low
77,4,3,3,69,Medium
87,9,2,1,92,Low
66,4,4,5,69,Medium
98,4,4,4,91,Low
85,5,2,3,58,Low
64,7,4,2,57,Low
94,4,1,7,86,Low
89,4,0,9,92,Low
68,4,3,1,52,Medium
85,1,3,5,75,Medium
69,3,4,4,48,Medium
73,1,0,2,51,Low
80,8,1,3,84,Low
65,7,2,7,81,Low
64,4,1,1,62,Low
64,4,2,2,45,Low
74,4,4,9,68,Medium
65,4,3,4,52,Medium
67,5,3,6,56,Medium
81,3,3,5,74,Low
71,2,2,1,57,Medium
70,5,5,3,61,Medium
70,2,2,1,40,Medium
80,7,0,4,86,Low
80,0,4,3,51,Medium
75,3,2,5,82,Low
50,4,1,6,52,Low
76,5,3,4,83,Low
66,3,0,4,66,Medium
71,2,0,4,64,Low
64,4,3,4,47,Medium
64,4,2,1,65,Low
70,9,2,3,85,Low
80,4,0,5,75,Low
68,3,2,8,57,Medium
84,6,1,5,59,Low
62,2,3,1,40,Medium
70,4,1,3,78,Low
68,4,3,3,40,Medium
79,4,0,7,92,Low
77,6,1,6,72,Low
82,2,2,6,48,Medium
74,7,1,10,77,Low
90,5,5,4,69,Low
66,4,0,5,58,Medium
68,2,0,2,57,Medium
81,6,1,5,96,Low
81,4,2,5,66,Low
74,3,6,5,63,Medium
76,9,1,6,85,Low
82,3,3,9,65,Medium
61,7,0,8,79,Low
90,8,3,6,92,Medium
70,5,0,3,80,Low
75,5,0,2,81,Low
66,4,0,5,79,Low
86,3,1,5,80,Low
74,3,3,5,65,Medium
92,2,1,1,73,Low
70,4,4,5,45,Medium
80,5,4,2,42,Medium
52,3,2,4,41,Medium
71,4,2,6,71,Low
78,4,5,7,63,Medium
59,1,1,3,43,Medium
91,0,2,5,75,Low
76,3,0,8,64,Medium
82,6,2,7,62,Medium
59,5,1,7,44,Medium
85,3,0,5,77,Low
70,5,4,6,64,Low
99,5,1,3,98,Low
85,3,1,6,86,Low
70,6,1,4,62,Low
66,6,2,5,79,Low
76,8,0,1,85,Low
68,3,4,3,64,Medium
67,3,0,4,68,Medium
70,6,0,7,93,Low
78,7,4,6,86,Medium
84,2,3,5,74,Medium
78,5,4,3,61,Medium
74,6,0,4,78,Low
79,2,2,5,72,Low
69,4,1,8,100,Low
80,3,2,6,88,Low
80,3,5,3,64,Medium
100,3,3,7,76,Medium
76,5,1,8,100,Low
75,3,0,6,86,Low
70,2,0,3,65,Low
86,5,3,6,100,Low
69,5,3,3,41,Medium
85,1,1,8,50,Medium
79,5,0,6,73,Low
72,8,0,3,69,Low
74,4,2,7,41,Medium
78,5,1,7,91,Low
91,2,2,7,59,Medium
92,7,3,8,83,Medium
85,2,2,7,69,Low
86,5,2,2,75,Low
75,7,2,8,93,Low
83,6,0,3,79,Low
74,2,5,2,46,Medium
85,4,1,4,59,Low
63,1,5,4,53,Medium
82,2,3,3,42,Medium
95,4,3,8,81,Medium
79,3,1,8,80,Low
85,7,0,8,86,Low
77,4,4,4,64,Low
85,3,4,1,46,Medium
77,7,0,9,86,Low
93,3,0,6,67,Low
75,4,2,6,65,Medium
69,2,3,1,40,Low
78,6,1,5,71,Low
71,4,4,3,52,Medium
85,2,0,2,74,Low
92,0,4,5,42,Medium
96,1,1,7,67,Low
97,2,4,6,69,Low
70,3,4,1,47,Medium
58,1,3,5,53,Low
81,3,0,8,78,Low
82,6,1,3,80,Low
75,0,4,5,42,High
74,0,3,8,48,Medium
76,5,2,5,72,Low
70,2,0,3,54,Low
67,4,0,4,80,Low
78,3,0,5,86,Low
83,6,1,5,85,Low
76,5,4,6,68,Medium
82,7,0,7,91,Low
74,3,3,7,45,Medium
69,5,5,6,60,Medium
78,3,4,6,72,Low
73,7,3,6,85,Low
72,5,0,5,80,Low
63,7,3,5,79,Low
49,7,2,7,47,Medium
72,6,1,8,79,Low
71,3,2,8,66,Low
70,1,2,5,44,High
82,4,2,3,76,Low
72,4,0,5,41,Medium
68,2,0,5,55,Medium
82,4,2,4,54,Low
90,0,6,2,40,Medium
72,5,4,6,68,Low
92,5,0,3,94,Low
74,7,2,9,82,Medium
76,6,0,4,81,Low
84,2,2,4,65,Medium
77,7,3,3,86,Low
78,0,3,9,40,High
78,4,1,2,48,Medium
59,7,5,4,77,Medium
67,0,0,4,45,Low
93,2,4,9,71,Medium
78,3,0,5,92,Low
80,0,3,6,43,Medium
93,3,1,8,67,Medium
89,7,0,7,85,Low
79,0,0,7,68,Low
67,2,4,4,46,Medium
68,7,1,7,74,Low
72,6,1,3,81,Low
78,4,2,9,70,Medium
67,5,5,4,78,Medium
81,4,0,5,72,Low
86,5,5,4,83,Medium
72,5,2,7,67,Low
74,5,0,7,55,Medium
85,6,4,6,64,Medium
88,5,3,3,80,Low
76,5,0,7,69,Medium
60,7,4,10,72,Medium
72,2,1,6,57,Medium
74,5,5,4,45,Medium
62,3,4,7,56,Medium
58,3,1,6,76,Low
94,4,3,5,62,Low
74,3,1,5,74,Low
79,7,3,5,66,Medium
90,3,0,5,91,Low
80,3,0,6,67,Low
48,4,0,4,70,Low
84,5,2,2,71,Low
84,3,0,3,59,Medium
56,2,2,5,52,Medium
87,3,1,7,57,Medium
87,2,6,1,41,Medium
76,6,1,4,66,Medium
94,1,1,8,92,Low
79,4,3,4,52,Low
88,3,2,8,77,Medium
57,3,1,3,56,Low
75,2,4,3,74,Low
82,2,4,4,43,Medium
66,4,1,4,50,Medium
80,2,5,5,69,Medium
88,1,0,7,70,Low
66,3,1,4,55,Medium
75,3,6,3,40,Medium
76,3,0,8,66,Medium
87,2,2,5,75,Low
84,6,2,6,78,Low
78,7,4,4,54,Medium
69,5,4,3,72,Low
87,4,4,3,60,Medium
83,6,0,8,99,Low
77,3,3,2,71,Medium
71,5,1,6,68,Low
74,1,0,3,59,Low
52,3,1,6,41,Medium
79,5,3,4,93,Low
77,0,3,9,40,Medium
79,5,0,1,85,Low
90,1,2,10,73,Medium
77,3,3,3,44,Medium
79,5,3,1,71,Low
82,6,4,3,57,Medium
62,5,4,1,53,Low
88,4,6,5,60,Medium
87,4,2,6,82,Low
71,2,1,3,54,Low
88,2,3,9,78,Low
93,7,4,10,91,Low
93,3,5,3,43,Medium
92,3,4,5,77,Low
77,2,2,5,52,Medium
89,6,1,6,97,Low
80,4,3,4,60,Low
81,3,2,6,67,Low
79,1,0,2,68,Medium
81,3,3,6,87,Low
60,6,1,6,73,Medium
83,8,0,9,89,Low
83,2,1,3,69,Low
89,4,6,8,81,Low
80,2,2,1,66,Low
85,3,3,3,54,Medium
79,7,2,6,82,Low
81,3,2,8,76,Medium
78,5,0,9,95,Low
76,6,4,4,76,Low
78,6,1,1,76,Low
87,6,4,4,59,Medium
70,6,3,6,57,Medium
76,3,1,5,70,Low
70,5,5,1,42,Medium
78,3,1,5,66,Medium
86,2,3,2,57,Medium
90,4,5,7,59,Medium
69,5,3,6,54,Medium
78,4,0,1,82,Low
85,2,0,5,74,Low
83,5,0,6,87,Low
78,4,0,1,65,Low
69,6,4,7,71,Medium
69,2,4,7,48,Medium
81,4,1,6,84,Low
66,3,0,4,72,Low
85,2,0,4,69,Low
96,8,3,3,85,Low
78,0,4,4,58,Medium
85,2,3,6,61,Medium
93,6,3,6,79,Low
70,7,2,1,87,Low
74,1,0,7,78,Low
88,4,4,3,60,Medium
69,6,1,5,72,Low
74,7,0,6,75,Low
76,4,2,1,54,Medium
69,2,5,4,45,Medium
82,8,5,3,65,Low
76,0,0,8,56,Low
77,6,4,1,78,Low
76,0,1,5,47,Medium
74,3,4,6,47,Medium
61,3,4,4,69,Medium
69,2,2,6,54,Medium
72,3,4,5,68,Medium
82,4,0,3,98,Low
83,4,2,1,50,Low
64,8,2,6,96,Low
70,4,3,5,68,Medium
78,6,5,8,92,Low
55,7,4,6,63,Medium
68,3,0,5,74,Low
87,2,2,5,63,Medium
74,7,4,5,71,Medium
72,7,2,3,82,Low
71,3,2,4,81,Low
86,6,4,3,68,Low
73,5,0,9,93,Low
85,3,3,6,70,Medium
96,1,1,3,72,Low
82,3,0,6,60,Medium
74,5,2,9,81,Low
69,6,0,7,63,Low
76,5,1,5,66,Medium
75,7,1,5,79,Low
69,3,0,5,61,Low
78,2,1,3,53,Low
94,4,3,6,66,Low
70,6,5,3,58,Medium
76,1,2,6,59,Low
63,5,4,4,71,Low
82,6,1,7,100,Low
61,1,6,8,40,Medium
76,1,1,7,49,Medium
82,5,3,5,97,Low
73,5,0,4,71,Low
70,2,3,3,40,Medium
77,5,0,5,69,Medium
92,7,2,2,98,Low
65,6,1,5,70,Low
71,7,3,10,98,Low
90,6,4,6,89,Low
69,3,3,8,76,Low
84,7,4,7,77,Low
53,5,2,6,64,Low
72,2,1,5,61,Medium
71,1,4,2,48,Medium
75,5,1,5,68,Low
76,5,0,3,89,Low
75,8,2,6,73,Low
74,4,4,8,68,Low
75,4,3,6,74,Low
83,7,3,4,87,Low
80,4,1,3,53,Medium
71,5,4,8,40,High
82,6,1,1,55,Low
62,2,2,8,63,Medium
75,4,3,9,53,Medium
77,7,1,4,93,Low
89,4,3,7,56,Medium
69,3,0,2,72,Low
73,2,0,4,56,Low
96,5,1,1,78,Low
80,2,1,5,73,Low
75,5,5,3,64,Medium
68,5,1,1,86,Low
87,5,1,6,88,Low
84,3,2,3,59,Low
67,4,0,5,60,Medium
74,3,0,4,59,Low
65,4,1,4,71,Low
56,4,5,6,58,Medium
72,4,2,5,76,Low
72,7,3,6,84,Low
80,5,3,2,63,Medium
66,2,0,5,82,Low
69,4,2,4,50,Medium
77,4,3,4,43,Medium
72,2,3,3,41,Medium
83,5,7,2,40,Medium
79,4,1,4,67,Medium
86,2,0,5,81,Low
72,5,3,8,77,Low
66,7,1,2,72,Low
68,3,0,2,57,Medium
68,2,0,7,82,Low
88,7,0,4,78,Low
64,6,3,5,57,Medium
84,2,4,3,47,Medium
87,4,1,5,74,Medium
82,8,3,1,66,Low
55,6,2,5,44,Medium
71,7,3,9,94,Low
57,2,4,9,55,Medium
73,4,4,5,40,Medium
81,2,3,2,63,Low
70,2,3,10,80,Low
82,4,4,1,70,Low
77,3,4,1,47,Low
85,5,1,9,77,Low
72,6,3,6,81,Medium
76,0,3,4,54,Medium
92,6,2,3,68,Low
75,5,2,5,75,Low
58,5,1,6,54,Medium
75,4,3,3,65,Medium
83,6,3,3,79,Low
71,4,2,3,62,Low
78,6,4,4,63,Medium
80,7,5,7,98,Low
67,3,3,10,81,Medium
95,4,4,4,67,Low
84,3,1,3,62,Medium
79,2,0,4,74,Low
52,2,6,7,41,Medium
91,2,0,6,70,Medium
68,7,4,5,62,Medium
69,5,1,1,80,Low
88,4,2,6,87,Low
78,2,2,2,50,Medium
89,1,0,8,69,Low
59,3,3,7,40,Medium
72,4,1,6,84,Low
68,3,1,6,74,Medium
75,2,0,7,59,Low
69,3,0,4,49,Medium
68,3,3,6,81,Low
76,4,0,2,69,Low
80,3,0,3,65,Low
77,4,1,6,74,Medium
70,4,7,6,45,High
63,1,0,2,60,Low
79,4,6,6,76,Medium
68,3,0,6,59,Low
68,4,0,4,63,Medium
97,4,3,8,73,Medium
83,3,3,6,68,Low
80,5,0,7,100,Low
78,3,4,5,65,Medium
86,3,3,4,70,Low
71,5,4,3,57,Medium
76,2,2,6,49,Medium
90,6,0,5,80,Low
60,7,4,4,60,Low
72,2,3,6,63,Medium
73,6,7,3,51,Medium
62,7,5,6,66,Medium
85,4,1,4,81,Low
85,1,3,5,70,Low
68,8,3,4,61,Medium
75,6,0,10,79,Low
82,4,1,2,55,Medium
66,3,3,5,58,Medium
65,5,0,2,55,Medium
92,4,0,7,99,Low
74,7,3,9,76,Low
70,1,2,3,59,Low
68,6,0,4,77,Low
86,3,2,6,71,Low
83,2,6,4,58,Medium
78,2,1,6,69,Low
80,4,5,7,47,Medium
71,4,5,6,62,Low
66,3,0,4,70,Low
50,0,0,7,52,Low
66,2,3,1,67,Low
78,2,3,1,44,Medium
66,3,4,2,52,Medium
66,4,2,6,51,Medium
78,3,4,3,72,Low
81,5,5,6,67,Medium
80,5,4,3,63,Low
52,3,2,5,40,Medium
69,5,2,3,63,Low
85,3,3,6,50,Medium
72,6,4,8,93,Low
70,7,0,9,100,Low
74,3,2,1,64,Low
70,2,3,1,46,Medium
90,8,0,6,100,Low
77,5,0,9,94,Low
68,5,3,3,81,Low
77,2,0,5,76,Low
71,4,0,2,76,Low
72,6,2,10,67,Medium
81,4,2,2,75,Low
90,3,1,1,57,Low
84,2,1,6,72,Medium
75,6,0,4,81,Low
95,5,1,4,77,Low
73,2,4,6,55,Medium
89,4,1,5,80,Medium
89,3,5,2,40,Medium
54,4,2,7,90,Low
65,5,2,5,63,Low
80,4,4,1,50,Medium
74,2,0,4,53,Low
68,1,3,10,44,Medium
67,4,4,7,80,Medium
82,3,0,1,71,Low
63,5,1,3,58,Low
72,2,3,3,46,Medium
76,3,0,7,61,Low
63,2,4,1,40,High
78,4,5,1,84,Low
79,3,2,10,76,Low
71,5,1,3,64,Low
69,4,2,7,44,Medium
60,3,1,6,48,Medium
82,3,4,3,57,Low
85,4,3,5,71,Low
81,2,2,4,54,Medium
69,5,4,5,75,Low
67,2,7,3,55,Medium
97,2,0,2,56,Low
73,1,3,8,52,Medium
92,3,0,1,64,Low
90,6,0,5,96,Low
59,5,5,3,40,Medium
62,3,0,9,90,Low
75,7,0,4,89,Low
52,5,2,5,75,Medium
67,6,2,3,88,Low
72,3,1,4,49,Medium
82,5,4,1,51,Medium
72,5,0,3,53,Medium
73,4,4,8,68,Medium
70,2,4,4,50,Medium
77,6,5,6,67,Low
71,4,0,6,55,Low
69,6,0,5,67,Low
79,8,2,5,98,Low
84,5,3,5,65,Low
77,3,0,3,78,Low
72,6,5,6,73,Medium
80,3,1,8,80,Low
94,3,0,3,66,Low
66,5,0,7,70,Medium
83,5,1,4,91,Low
73,4,5,5,54,Medium
73,6,1,4,80,Medium
73,8,2,4,63,Medium
70,2,1,4,62,Medium
83,3,2,2,51,Medium
68,3,0,5,80,Low
74,6,0,6,73,Low
73,6,1,7,93,Low
63,6,3,5,58,Medium
77,5,2,3,67,Medium
73,4,2,5,73,Low
66,5,3,1,56,Medium
73,3,4,1,54,Medium
68,4,3,5,74,Low
67,3,1,1,49,Low
69,6,3,6,64,Low
64,5,0,3,45,Low
84,3,3,7,61,Medium
81,4,2,7,49,Medium
90,5,2,1,68,Low
